col_X,pattern_X,match_type_X,col_Y,pattern_Y,match_type_Y,confidence,n_matching_X,n_valid,n_violations,epsilon,generalized_from
Full Name,Gui,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Guz,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Hec,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Hes,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Hob,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Hoe,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Hud,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Hy,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Kid,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Kro,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Lak,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,"Le,",startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Leg,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Lyl,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Lit,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Log,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Mad,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Mcd,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Mcm,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Met,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Mey,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Nav,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Nw,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Ob,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Od,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Ola,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Ras,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Rin,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Sma,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,St ,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Tar,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Via,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Wag,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Wea,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Wen,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Wit,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,X,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Zh,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Alvarez,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Banks,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Beall,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Byrd,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Chapman,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Cherry,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Delgado,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Foreman,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Hendricks,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Mclaughlin,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Parks,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Perry,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Prince,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Ramos,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Ricketts,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Santos,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Simpson,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Dre,startswith,Department,POL,exact,1.0,5,5,0,0.0,1
Full Name,Dre,startswith,Department Name,Department of Police,exact,1.0,5,5,0,0.0,1
Full Name,Fly,startswith,Gender,F,exact,1.0,5,5,0,0.0,1
Full Name,Bax,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Cli,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,D',startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Hob,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Kro,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Laz,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Log,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Tar,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Vin,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Wag,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Parks,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Pierce,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Plummer,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Full Name,Simpson,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Position Title,Ab,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Position Title,Lic,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Position Title,Communications,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Position Title,Lic,startswith,Department,COR,exact,1.0,5,5,0,0.0,1
Position Title,Dis,startswith,Department,DOT,exact,1.0,5,5,0,0.0,1
Position Title,Communications,startswith,Department,DTS,exact,1.0,5,5,0,0.0,1
Position Title,Lat,startswith,Department,POL,exact,1.0,5,5,0,0.0,1
Position Title,Ab,startswith,Department,POL,exact,1.0,5,5,0,0.0,1
Position Title,Lic,startswith,Department Name,Correction and Rehabilitation,exact,1.0,5,5,0,0.0,1
Position Title,Lat,startswith,Department Name,Department of Police,exact,1.0,5,5,0,0.0,1
Position Title,Ab,startswith,Department Name,Department of Police,exact,1.0,5,5,0,0.0,1
Position Title,Communications,startswith,Department Name,Department of Technology Services,exact,1.0,5,5,0,0.0,1
Position Title,Dis,startswith,Department Name,Department of Transportation,exact,1.0,5,5,0,0.0,1
Position Title,Lic,startswith,Division,DS Health Services,exact,1.0,5,5,0,0.0,2
Position Title,Communications,startswith,Division,ETSD Radio Communications Services,exact,1.0,5,5,0,0.0,1
Position Title,Dis,startswith,Division,Highway Services,exact,1.0,5,5,0,0.0,2
Position Title,Lat,startswith,Division,ISB Criminal Investigations Division Forensic Services Section,exact,1.0,5,5,0,0.0,2
Position Title,Ab,startswith,Division,MSB Management and Budget Division Abandoned Vehicle Section,exact,1.0,5,5,0,0.0,3
Position Title,Dis,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Position Title,Ab,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Position Title,Communications,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Underfilled Job Title,Em,startswith,Department,FRS,exact,1.0,5,5,0,0.0,1
Underfilled Job Title,Be,startswith,Department,HHS,exact,1.0,5,5,0,0.0,1
Underfilled Job Title,Be,startswith,Department Name,Department of Health and Human Services,exact,1.0,5,5,0,0.0,1
Underfilled Job Title,Em,startswith,Department Name,Fire and Rescue Services,exact,1.0,5,5,0,0.0,1
Underfilled Job Title,Em,startswith,Division,Fleet,exact,1.0,5,5,0,0.0,3
Underfilled Job Title,Em,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Underfilled Job Title,Be,startswith,Position Title,Behavioral Health Associate Counselor,exact,1.0,5,5,0,0.0,3
Underfilled Job Title,Em,startswith,Position Title,Emergency Vehicle Mechanic Technician II,exact,1.0,5,5,0,0.0,3
